survey_name,year,fsu_serial_no,sector,state,nss_region,district,stratum,sub_stratum,panel,sub_sample,fod_sub_region,sample_su_no,sample_sub_division_no,second_stage_stratum_no,sample_hhld_no,questionnaire_no,level,survey_code,reason_for_substitution_code,multiplier
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,2,01,H,01,1,,35560.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,01,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,02,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,03,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,04,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,05,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,06,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,07,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,08,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,09,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,10,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,11,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,12,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,13,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,14,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,15,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,16,H,01,1,,30331.0
HCES,2022,46626,1,01,013,11,13,01,1,1,0120,2,,3,17,H,01,1,,30331.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,01,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,02,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,03,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,04,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,05,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,06,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,07,H,01,1,,23213.0
HCES,2022,46623,1,01,013,12,13,01,1,2,0121,2,,3,08,H,01,1,,23213.0
